PRESENTED_AT_ID,Paper_ID,Edition_ID
35162,11859,36399
35163,11860,36396
35164,11861,36396
35165,11862,36399
35166,11863,36395
35167,11864,36396
35168,11865,36396
35169,11866,36398
35170,11867,36396
35171,11868,36399
35172,11869,36394
35173,11870,36396
35174,11871,36400
35175,11872,36394
35176,11873,36402
35177,11874,36394
35178,11875,36397
35179,11876,36402
35180,11877,36399
35181,11878,36402
35182,11879,36404
35183,11880,36395
35184,11881,36402
35185,11882,36394
35186,11883,36402
35187,11884,36402
35188,11885,36402
35189,11886,36396
35190,11887,36398
35191,11888,36395
35192,11889,36394
35193,11890,36399
35194,11891,36398
35195,11892,36399
35196,11893,36396
35197,11894,36394
35198,11895,36396
35199,11896,36399
35200,11897,36396
35201,11898,36396
35202,11899,36403
35203,11900,36396
35204,11901,36402
35205,11902,36399
35206,11903,36404
35207,11904,36396
35208,11905,36396
35209,11906,36396
35210,11907,36395
35211,11908,36394
35212,11909,36402
35213,11910,36398
35214,11911,36396
35215,11912,36399
35216,11913,36402
35217,11914,36400
35218,11915,36399
35219,11916,36399
35220,11917,36398
35221,11918,36401
35222,11919,36394
35223,11920,36399
35224,11921,36403
35225,11922,36399
35226,11923,36404
35227,11924,36402
35228,11925,36401
35229,11926,36394
35230,11927,36399
35231,11928,36399
35232,11929,36400
35233,11930,36400
35234,11931,36400
35235,11932,36399
35236,11933,36396
35237,11934,36404
35238,11935,36394
35239,11936,36399
35240,11937,36399
35241,11938,36399
35242,11939,36401
35243,11940,36404
35244,11941,36402
35245,11942,36402
35246,11943,36394
35247,11944,36402
35248,11945,36404
35249,11946,36396
35250,11947,36394
35251,11948,36396
35252,11949,36401
35253,11950,36396
35254,11951,36396
35255,11952,36395
35256,11953,36399
35257,11954,36398
35258,11955,36396
35259,11956,36396
35260,11957,36396
35261,11958,36399
35262,11959,36399
35263,11960,36399
35264,11961,36400
35265,11962,36396
35266,11963,36396
35267,11964,36395
35268,11965,36396
35269,11966,36399
35270,11967,36402
35271,11968,36399
35272,11969,36396
35273,11970,36404
35274,11971,36399
35275,11972,36396
35276,11973,36402
35277,11974,36399
35278,11975,36399
35279,11976,36396
35280,11977,36398
35281,11978,36403
35282,11979,36399
35283,11980,36400
35284,11981,36403
35285,11982,36402
35286,11983,36401
35287,11984,36396
35288,11985,36396
35289,11986,36398
35290,11987,36395
35291,11988,36398
35292,11989,36401
35293,11990,36402
35294,11991,36402
35295,11992,36404
35296,11993,36396
35297,11994,36400
35298,11995,36403
35299,11996,36402
35300,11997,36394
35301,11998,36399
35302,11999,36396
35303,12000,36399
