IS_ABOUT_ID,Paper_ID,Keyword_ID
492746,6580,36723
492747,6581,36724
492748,6581,36725
492749,6581,36726
492750,6582,36727
492751,6583,36728
492752,6583,36729
492753,6583,36730
492754,6584,36731
492755,6584,36732
492756,6585,36733
492757,6585,36734
492758,6585,36735
492759,6586,36736
492760,6586,36737
492761,6586,36738
492762,6587,36739
492763,6587,36740
492764,6587,36741
492765,6588,36742
492766,6589,36743
492767,6589,36744
492768,6589,36745
492769,6590,36746
492770,6590,36713
492771,6590,36747
492772,6591,36748
492773,6592,36749
492774,6592,36750
492775,6592,36751
492776,6593,36752
492777,6593,36753
492778,6594,36754
492779,6594,36755
492780,6595,36756
492781,6596,36757
492782,6597,36758
492783,6597,36759
492784,6597,36760
492785,6598,36718
492786,6599,36761
492787,6599,36762
492788,6599,36763
492789,6600,36764
492790,6600,36765
492791,6600,36766
492792,6601,36727
492793,6602,36767
492794,6602,36716
492795,6602,36768
492796,6603,36769
492797,6604,36770
492798,6604,36771
492799,6604,36772
492800,6605,36773
492801,6605,36774
492802,6605,36775
492803,6606,36776
492804,6606,36777
492805,6606,36778
492806,6607,36779
492807,6607,36780
492808,6607,36781
492809,6608,36782
492810,6608,36783
492811,6608,36784
492812,6609,36785
492813,6609,36786
492814,6609,36787
492815,6610,36788
492816,6610,36765
492817,6611,36789
492818,6611,36790
492819,6611,36791
492820,6612,36792
492821,6612,36637
492822,6612,36793
492823,6613,36794
492824,6613,36795
492825,6614,36796
492826,6614,36797
492827,6614,36798
492828,6615,36727
492829,6616,36799
492830,6616,36800
492831,6616,36801
492832,6617,36802
492833,6617,36803
492834,6618,36804
492835,6618,36805
492836,6619,36806
492837,6619,36807
492838,6619,36808
492839,6620,36809
492840,6620,36810
492841,6620,36811
492842,6621,36600
492843,6621,36812
492844,6621,36813
492845,6622,36814
492846,6622,36815
492847,6623,36816
492848,6623,36817
492849,6623,36818
492850,6624,36819
492851,6624,36820
492852,6624,36821
492853,6625,36822
492854,6625,36823
492855,6625,36824
492856,6626,36825
492857,6626,36826
492858,6626,36827
492859,6627,36828
492860,6627,36829
492861,6627,36830
492862,6628,36831
492863,6628,36832
492864,6628,36833
492865,6629,36834
492866,6629,36835
492867,6629,36836
492868,6630,36837
492869,6630,36838
492870,6630,36736
492871,6631,36839
492872,6631,36840
492873,6631,36841
492874,6632,36842
492875,6632,36843
492876,6632,36822
492877,6633,36844
492878,6633,36845
492879,6634,36846
492880,6634,36847
492881,6634,36848
492882,6635,36849
